gid,village,nbrbati,lat,lon,comm_fkt
"540",NA,"5","-20.5912664844371","47.7180266222967",AMPASINAMBO_MORARANO
"541",NA,"7","-20.6218243963603","47.7006916044347",AMPASINAMBO_AMPASIMBOLA I
"542",Morarano Ampasimbola I,"49","-20.6187315491709","47.7032742302397",AMPASINAMBO_AMPASIMBOLA I
"543",NA,"8","-20.6148835449819","47.7130946829742",AMPASINAMBO_AMPASIMBOLA I
"544",Ampasimbola I,"37","-20.6250489641473","47.701457734892",AMPASINAMBO_AMPASIMBOLA I
"545",Sakavanana,"132","-20.6360656215766","47.7042009792898",AMPASINAMBO_SAKAVANANA
"546",NA,"8","-20.6396873735263","47.6947588281171",AMPASINAMBO_SAKAVANANA
"547",NA,"21","-20.6316326229901","47.7001592985445",AMPASINAMBO_SAKAVANANA
"548",NA,"6","-20.6481271444733","47.6933392212635",AMPASINAMBO_SAKAVANANA
"246",NA,"5","-20.6279532056266","47.7355890876589",AMPASINAMBO_AMBODIARA NORD
"247",NA,"23","-20.6207895157637","47.7414065208944",AMPASINAMBO_AMBODIARA NORD
"248",NA,"4","-20.6201215859503","47.7223121395797",AMPASINAMBO_AMBODIARA NORD
"249",Ambodiara Nord,"99","-20.6280154400552","47.7010973565488",AMPASINAMBO_AMBODIARA NORD
"366",Kianjanaomby,"54","-20.9542117604358","47.614127241762",AMBOHIMANGA DU SUD_MAROSATROKA
"367",Sahasifotra,"38","-20.961780157524","47.6390233644501",AMBOHIMANGA DU SUD_MAROSATROKA
"368",NA,"50","-20.9490867447997","47.6242542465712",AMBOHIMANGA DU SUD_MAROSATROKA
"369",Marosatroka,"37","-20.9745103829402","47.6407701683961",AMBOHIMANGA DU SUD_MAROSATROKA
"386",Analamarina,"22","-20.8156616337246","47.5817805415394",AMBOHIMANGA DU SUD_ANDRORANGAVOLA NORD
"387",NA,"29","-20.814241498334","47.6014198953203",AMBOHIMANGA DU SUD_ANDRORANGAVOLA NORD
"388",Androrangavo Avaratra,"79","-20.7887960739577","47.5786323516481",AMBOHIMANGA DU SUD_ANDRORANGAVOLA NORD
"389",NA,"22","-20.8181872881841","47.5856195262372",AMBOHIMANGA DU SUD_ANDRORANGAVOLA NORD
"489",NA,"23","-21.2398686598219","47.820230825883",ANTARETRA_AMBINANIVATOMENA
"490",Ambinaninivatomena,"15","-21.2497697371741","47.7890820117497",ANTARETRA_AMBINANIVATOMENA
"491",NA,"18","-21.251672473884","47.7899267492849",ANTARETRA_AMBINANIVATOMENA
"492",Mananadaba,"17","-21.2379219231978","47.8210563332497",ANTARETRA_AMBINANIVATOMENA
"549",NA,"19","-21.2732103502237","47.7726830860507",ANTARETRA_AMBODIARA I
"550",Ambodiarakely,"16","-21.2771596273988","47.7737196601688",ANTARETRA_AMBODIARA I
"551",Ambiha,"19","-21.2871009581561","47.7766339068356",ANTARETRA_AMBODIARA I
"552",NA,"22","-21.2598963640876","47.7530718171679",ANTARETRA_AMBODIARA I
"553",NA,"32","-21.3089300373476","47.7443008006667",ANTARETRA_MORAFENO
"554",Morafeno,"69","-21.2991799801826","47.7500021988106",ANTARETRA_MORAFENO
"555",NA,"8","-21.3000919596639","47.7490355931213",ANTARETRA_MORAFENO
"556",NA,"7","-21.2974516943622","47.7533229433723",ANTARETRA_MORAFENO
"557",NA,"15","-21.2964665118111","47.7764006027898",ANTARETRA_BETAMPONA
"558",NA,"36","-21.2839689484242","47.7588652997834",ANTARETRA_BETAMPONA
"559",Ambohitsara Betampona,"14","-21.2883049971398","47.7619626690745",ANTARETRA_BETAMPONA
"560",Betampona,"51","-21.2973432714128","47.773289353884",ANTARETRA_BETAMPONA
"517",NA,"93","-21.3435918012984","47.7570362670301",ANTARETRA_ANDRANOMAITSO
"518",Andranomaintso,"41","-21.341231185253","47.7610279590258",ANTARETRA_ANDRANOMAITSO
"519",Mahasoa,"35","-21.3266586916701","47.7656448326511",ANTARETRA_ANDRANOMAITSO
"520",Mahatsara,"32","-21.3087976015255","47.7722802084292",ANTARETRA_ANDRANOMAITSO
"521",Ambodiroranga,"56","-21.3494201035099","47.7709226253034",ANTARETRA_ANTARETRA
"522",Antaretra,"159","-21.3556835956069","47.7796185820469",ANTARETRA_ANTARETRA
"523",NA,"35","-21.3559844334602","47.7778473135245",ANTARETRA_ANTARETRA
"524",Ambinaninivintanona,"47","-21.3363764657888","47.7847651670379",ANTARETRA_ANTARETRA
"525",SOFASPAN,"870","-21.3024889580713","47.6366794763448",IFANADIANA_IFANADIANA
"526",Ambatolahiambo,"37","-21.3080378701762","47.645614698969",IFANADIANA_IFANADIANA
